tick,rack,level,temperature,humidity,ph,ec,water_level,flow_rate,light_lux,airflow
0,A,1,23.39,73.63,6.23,1.93,86.0,1.66,373.7,1.45
0,A,2,23.86,70.96,6.25,1.98,86.0,1.69,401.9,1.62
0,A,3,24.4,69.26,6.27,1.94,86.0,1.67,453.1,1.67
0,A,4,24.83,68.12,6.22,2.0,86.0,1.63,482.8,1.83
0,B,1,23.92,71.52,6.25,1.94,86.0,1.72,371.9,1.36
0,B,2,24.26,70.36,6.23,2.0,86.0,1.69,409.5,1.39
0,B,3,24.61,69.62,6.22,1.99,86.0,1.78,461.5,1.58
0,B,4,25.01,68.5,6.26,1.98,86.0,1.66,470.9,1.71
1,A,1,23.39,73.95,6.26,1.93,85.99,1.7,392.2,1.44
1,A,2,23.71,70.93,6.25,1.99,85.99,1.72,405.6,1.59
1,A,3,24.37,69.4,6.24,1.96,85.99,1.64,456.6,1.68
1,A,4,24.61,68.57,6.25,2.01,85.99,1.78,486.9,1.84
1,B,1,23.97,71.96,6.24,1.99,85.99,1.63,394.9,1.27
1,B,2,24.35,70.83,6.24,1.93,85.99,1.73,403.7,1.41
1,B,3,24.9,69.91,6.23,1.96,85.99,1.76,461.1,1.62
1,B,4,25.02,68.84,6.25,1.98,85.99,1.78,480.4,1.71
2,A,1,23.3,73.53,6.28,1.95,85.98,1.73,400.8,1.5
2,A,2,23.99,70.85,6.25,1.95,85.98,1.75,428.0,1.61
2,A,3,24.52,69.98,6.25,1.96,85.98,1.73,471.9,1.67
2,A,4,24.98,69.47,6.28,1.96,85.98,1.79,495.1,1.86
2,B,1,23.88,72.1,6.25,1.99,85.98,1.65,389.4,1.34
2,B,2,24.47,71.49,6.29,2.0,85.98,1.77,423.5,1.46
2,B,3,24.57,69.9,6.25,2.0,85.98,1.73,463.2,1.55
2,B,4,25.03,69.0,6.27,1.96,85.98,1.71,484.9,1.71
3,A,1,23.59,73.52,6.24,1.95,85.96,1.78,398.3,1.43
3,A,2,24.15,71.17,6.24,1.97,85.96,1.68,425.8,1.6
3,A,3,24.34,69.93,6.26,2.01,85.96,1.71,447.7,1.74
3,A,4,24.72,69.04,6.25,2.0,85.96,1.77,497.5,1.82
3,B,1,23.89,72.54,6.29,1.95,85.96,1.79,391.3,1.26
