id,name,species,growth_stage,temp_min,temp_max,humidity_min,humidity_max,ph_min,ph_max,ec_min,ec_max,days_in_stage,health_score,rack,level,slot
p1,Lettuce A,Lactuca sativa,vegetative,18.0,24.0,60.0,70.0,6.0,7.0,0.8,1.6,13,82.0,A,1,1
p2,Basil B,Ocimum basilicum,flowering,20.0,28.0,55.0,75.0,5.5,6.5,1.0,1.6,7,74.0,A,1,2
p3,Spinach C,Spinacia oleracea,seedling,15.0,20.0,60.0,80.0,6.0,7.0,1.8,2.3,3,91.0,A,2,1
p4,Kale D,Brassica oleracea,vegetative,15.0,22.0,55.0,75.0,6.0,7.5,1.6,2.5,18,79.0,A,2,2
p5,Mint E,Mentha spicata,mature,18.0,26.0,65.0,85.0,6.0,7.0,1.2,2.0,30,95.0,A,3,1
p6,Arugula F,Eruca vesicaria,seedling,16.0,23.0,55.0,75.0,6.0,7.0,0.8,1.4,4,88.0,A,3,2
p7,Pak Choy G,Brassica rapa,vegetative,18.0,25.0,60.0,80.0,6.0,7.2,1.2,2.0,14,82.0,A,4,1
p8,Coriander H,Coriandrum sativum,vegetative,17.0,25.0,50.0,70.0,6.2,6.8,1.0,1.8,16,76.0,A,4,2
p9,Lettuce I,Lactuca sativa,vegetative,18.0,24.0,60.0,70.0,6.0,7.0,0.8,1.6,11,84.0,B,1,1
p10,Basil J,Ocimum basilicum,flowering,20.0,28.0,55.0,75.0,5.5,6.5,1.0,1.6,8,72.0,B,1,2
p11,Spinach K,Spinacia oleracea,seedling,15.0,20.0,60.0,80.0,6.0,7.0,1.8,2.3,2,90.0,B,2,1
p12,Kale L,Brassica oleracea,vegetative,15.0,22.0,55.0,75.0,6.0,7.5,1.6,2.5,19,80.0,B,2,2
p13,Mint M,Mentha spicata,mature,18.0,26.0,65.0,85.0,6.0,7.0,1.2,2.0,29,93.0,B,3,1
p14,Chard N,Beta vulgaris,vegetative,16.0,25.0,55.0,80.0,6.0,7.0,1.6,2.4,17,81.0,B,3,2
p15,Parsley O,Petroselinum crispum,seedling,15.0,24.0,55.0,75.0,5.8,6.8,0.8,1.8,5,86.0,B,4,1
p16,Romaine P,Lactuca sativa,vegetative,18.0,24.0,60.0,70.0,6.0,7.0,0.8,1.6,13,83.0,B,4,2
